nom,tecnologia,icon,descripcio,url,idTipus,id
Ajax.Net,.NET,,,,0,1
"Apache Cocoon",JEE,,"Per la creació d'aplicacions Web dinàmiques",,0,2
Axis2,JEE,/images/axi2.gif,"Framework WebService basat en XML i OpenSource",,3,3
"EJB 3.0",JEE,,"Especifica com els servidor d'aplicacions proporcionen objectes",,0,4
Flamingo,JEE,,,,0,5
Icefaces,JEE,,"FrameWork OpenSource per construir aplicacions Web amb Ajax",,1,6
Infragistics,.NET,,,,0,7
J2ME,JEE,/images/sun-java.png,"Colecció d'APIs en Java orientades a productes de consum com PDAs, telèfons mòbils o electrodomèstic",,0,8
Jboss,JEE,/images/jboss.ico,"Servidor d'aplicacions J2EE OpenSource implementat en Java i que  implementa tot el paquet de servei",,0,9
JbossPortal,JEE,,,,0,10
jBPM,.NET,/images/jbpm.gif,"Platforma para lenguajes ejecutables de procesos para la gestión de Procesos de Negocio",,6,11
JMS,JEE,/images/logo_sun_small_sdn.gif,"Sistema de Missatgeria en Java",,4,12
JPivot,JEE,,"Client OLAP basat en JSP",http://localhost:8080/jpivot,0,13
JSF,JEE,/images/logo_sun_small_sdn.gif,"Framework de desenvolupament web basat en el patró MVC (Model-View-Controller)",,1,14
jUnit,JEE,,,,0,15
Mondrian,JEE,,"Servidor OLAP",http://localhost:8080/mondrian,0,16
Pentaho,JEE,,"Software de Business Intelligence OpenSource",,0,17
Richfaces,JEE,,"Framework Ajax OpenSource per construir aplicacions Web visualment atractives",,1,18
Seam,JEE,,"Framework para construir aplicaciones Web 2.0 unificando y integrando tecnologías",,1,19
Spring,JEE,,"Pel desenvolupament d'aplicacions en Java",,0,20
Tapestry,JEE,,"Per la creació d'aplicacions Web dinàmiques",,0,21
