nom,abrev,id
"Allotjament JBoss Professional",,1
BPMN,deglBPMN,2
"Common Facade - FrontEnd unic",deglComFac,3
"Customer relantionship Manager",deglCust,4
"Desenvolupament JEE",deglDesJEE,5
"Desenvolupament NET",deglDesNET,6
"Integració de Sistemes",deglESB,7
"Integració de Sistemes de Missatgeria",deglMissat,8
"Monitorització Processos de Negoci",deglMonBPM,9
Portals/Web,deglPortal,10
"Projectes OpenSource",deglPOpenS,11
"Reutilització de Components",deglReut,12
Security,deglSecuri,13
SOA,deglSOA,14
"Suport OpenSource",deglSOpenS,15
"Tecnologies EAI",deglEAI,16
WorkFlows,deglWorkfl,17
